result,m,n,time to complete ms,iterations
solved,6,6,184.24779999999998,416
solved,6,7,131.1382,235
solved,6,8,37130.7929,56222
solved,6,9,9323.3537,11904
solved,6,10,178105.232,180718
solved,6,11,140747.0196,130689
solved,6,12,279017.4323,259758
solved,7,6,5953.9609,10801
failed,7,7,277407.9547,400007
failed,7,8,326878.1168,400017
solved,6,6,1776.3926999999999,3961
solved,6,7,6847.2889000000005,11700
solved,6,8,3005.3952000000004,4340
solved,6,9,9009.4544,11756
solved,6,10,117499.2522,132159
solved,6,11,251628.3788,250153
solved,6,12,137470.1324,124915
solved,7,6,18164.8379,31482
failed,7,7,282934.3286,400007
solved,7,8,791.4,979
failed,7,9,381129.5255,400007
solved,7,10,276812.9288,257237
failed,7,11,483202.0132,400007
failed,7,12,526302.3071,400007
solved,8,6,103240.8648,154357
solved,8,7,1492.6821,1812
solved,6,6,2390.6247999999996,4912
solved,6,7,4590.7592,7977
solved,6,8,20057.8439,28014
solved,6,9,200276.5446,252954
failed,6,10,355581.7111,400017
solved,6,11,162844.164,162553
failed,6,12,432749.2726,400015
solved,8,6,10165.6065,15342
solved,8,7,16544.6391,19977
solved,8,8,44123.8401,45459
failed,8,9,441633.3333,400007
failed,8,10,497214.08489999996,400007
failed,8,11,567016.1673,400007
failed,8,12,625089.6136,400007
solved,10,6,180635.502,204687
failed,10,7,429331.6527,400018
failed,10,8,504234.1581,400007
solved,6,6,1840.9756,4105
solved,6,7,2634.0885,4701
solved,6,6,306.4855,635
solved,6,7,1406.9965,2591
solved,6,8,32682.1449,49442
solved,6,9,45810.7876,60164
solved,6,10,98545.6162,114171
solved,6,11,236038.9956,245299
failed,6,12,427596.6872,400015
solved,8,6,12419.3396,18011
solved,8,7,194539.19569999998,242573
failed,8,8,380910.2889,400006
solved,8,8,745110.3282999999,779647
